company_name,industry_type,business_type,country,city,area,zipcode,address,primary_contact,primary_email,secondary_contact,secondary_email,services_products,target_customer,price_range,num_branches,branch_details,rating,reviews_count,website,facebook_url,instagram_url,linkedin_url,source_url
CHIRAG IMPEX,Cleaning and Hotel Supplier shops wholesalers,Manufacturer | Supplier,India,Mumabi,,,Mumbai,,,,,Invisible Safety Grill - Color: Any Color,,90 INR (Approx.)MOQ - 1 Square Foot/Square Foots,,,,,https://www.chiragimpex.co.in/,,,,https://www.tradeindia.com/chirag-impex-70643014/
Disposable Point,disposable cutlery,,India,Mumabi,,,Gurugram,,,,,"Disposable Cutlery - Plastic Material, 6 Inch Size, Pink Color , Hard and Durable Finish",,"Price: 2.02 INR (Approx.)/PieceMOQ- 500 Pack/PacksColor - PinkProduct Type - Other, Disposable CutleryMaterial - Plastic",,,,,,,,,https://www.tradeindia.com/search.html?keyword=disposable+cutlery&city=Mumabi
DISPOSABLE POINT,disposable cutlery,Manufacturer | Exporter,India,Mumabi,,,Gurugram,,,,,"Coloured Disposable Cutlery - Bio-friendly Plastic, 6 Inch Size, Cool Green Color | Durable, Hygienic, Soft, Eco-friendly",,2.02 INR (Approx.)MOQ - 400 Piece/Pieces,,,,,https://www.ecofriendlyproducts.in/,,,,https://www.tradeindia.com/disposable-point-10868234/
ATUL TRADING COMPANY,disposable cutlery,Distributor | Supplier,India,Mumabi,,,New Delhi,,,,,Wooden Disposable Cutlery - Color: White,,1.5 INR (Approx.)MOQ - 5000 Piece/Pieces,,,,,https://www.atcdisposable.com/,,,,https://www.tradeindia.com/atul-trading-company-28477395/
RADIANT PLASTIC,disposable cutlery,Manufacturer | Exporter,India,Mumabi,,,Rajkot,,,,,"Eco Friendly Disposable Cutleries - Plastic, Standard Size, White | Good Quality For Sustainable Dining Experiences",,2 INR (Approx.)MOQ - 2000 Piece/Pieces,,,,,https://www.radiantcampingchair.com/,,,,https://www.tradeindia.com/radiant-plastic-6511943/
GLORIIOUS INNOVATIONS,disposable cutlery,Manufacturer | Distributor,India,Mumabi,,,Bengaluru,,,,,"Disposable Wooden Cutlery - High Density Wood Pulp, Smooth Finish 2.5 Cm Width , Eco-friendly, Non-reactive, Biodegradable, Recycled Style",,1.00 INR (Approx.)MOQ - 1000 Piece/Pieces,,,,,https://www.gloriiousinnovations.com/,,,,https://www.tradeindia.com/gloriious-innovations-103379165/
SOLUTION 4U,disposable cutlery,Manufacturer | Exporter,India,Mumabi,,,Mumbai,,,,,Disposable Plastic Cutlery,,,,,,,,,,,https://www.tradeindia.com/solution-4u-1255705/
RIDHHI FLEXIBLE PACKAGING,disposable cutlery,Manufacturer | Supplier,India,Mumabi,,,Noida,,,,,Eco-friendly Disposable Wooden Cutlery,,1.0 INR (Approx.)MOQ - 2000 Piece/Pieces,,,,,https://www.riddhiflexiblepackaging.in/,,,,https://www.tradeindia.com/ridhhi-flexible-packaging-24619247/
BEAUTY PLASTICS,disposable cutlery,Manufacturer | Supplier,India,Mumabi,,,Ulhasnagar,,,,,"Disposable Plastic Cutlery - Premium Quality Plastic Set, Classic Design In Various Colors, Enhanced Durability And Easy Disposal",,1.30 INR (Approx.)MOQ - 50000 Piece/Pieces,,,,,,,,,https://www.tradeindia.com/beauty-plastics-983371/
Jain Plascons,disposable cutlery,Trading Company,India,Mumabi,,,Chennai,,,,,Brown Eco Friendly Disposable Cutleries,,MOQ - 100 Piece/Pieces,,,,,,,,,https://www.tradeindia.com/jain-plascons-55768830/
SUKH JAN DISPOSABLES LLP,disposable cutlery,Manufacturer,India,Mumabi,,,New Delhi,,,,,"Disposable Cutlery - Wood Material, Plain Brown Color, Modern Style | Eco-friendly, Pack Size: 100 Pieces For Homes, Hotels, And Restaurants",,60 INR (Approx.)MOQ - 1500 Pack/Packs,,,,,,,,,https://www.tradeindia.com/sukh-jan-disposables-llp-69119654/
Disposable Point,disposable cutlery,,India,Delhi,,,Gurugram,,,,,"Disposable Cutlery - Plastic Material, 6 Inch Size, Pink Color , Hard and Durable Finish",,"Price: 2.02 INR (Approx.)/PieceMOQ- 500 Pack/PacksColor - PinkProduct Type - Other, Disposable CutleryMaterial - Plastic",,,,,,,,,https://www.tradeindia.com/search.html?keyword=disposable+cutlery&city=Delhi
DISPOSABLE POINT,disposable cutlery,Manufacturer | Exporter,India,Delhi,,,Gurugram,,,,,"Coloured Disposable Cutlery - Bio-friendly Plastic, 6 Inch Size, Cool Green Color | Durable, Hygienic, Soft, Eco-friendly",,2.02 INR (Approx.)MOQ - 400 Piece/Pieces,,,,,https://www.ecofriendlyproducts.in/,,,,https://www.tradeindia.com/disposable-point-10868234/
ATUL TRADING COMPANY,disposable cutlery,Distributor | Supplier,India,Delhi,,,New Delhi,,,,,Wooden Disposable Cutlery - Color: White,,1.5 INR (Approx.)MOQ - 5000 Piece/Pieces,,,,,https://www.atcdisposable.com/,,,,https://www.tradeindia.com/atul-trading-company-28477395/
RADIANT PLASTIC,disposable cutlery,Manufacturer | Exporter,India,Delhi,,,Rajkot,,,,,"Eco Friendly Disposable Cutleries - Plastic, Standard Size, White | Good Quality For Sustainable Dining Experiences",,2 INR (Approx.)MOQ - 2000 Piece/Pieces,,,,,https://www.radiantcampingchair.com/,,,,https://www.tradeindia.com/radiant-plastic-6511943/
GLORIIOUS INNOVATIONS,disposable cutlery,Manufacturer | Distributor,India,Delhi,,,Bengaluru,,,,,"Disposable Wooden Cutlery - High Density Wood Pulp, Smooth Finish 2.5 Cm Width , Eco-friendly, Non-reactive, Biodegradable, Recycled Style",,1.00 INR (Approx.)MOQ - 1000 Piece/Pieces,,,,,https://www.gloriiousinnovations.com/,,,,https://www.tradeindia.com/gloriious-innovations-103379165/
SOLUTION 4U,disposable cutlery,Manufacturer | Exporter,India,Delhi,,,Mumbai,,,,,Disposable Plastic Cutlery,,,,,,,,,,,https://www.tradeindia.com/solution-4u-1255705/
